state,district,age_0_5,age_5_17,age_18_greater,operating_days,total_enrol,total_bio,total_demo,bio_ratio,child_ratio,avg_daily_vol,Bio_Score,Child_Exclusion_Score,Overload_Score,AFI
100000,100000,0,1,217,21,218,0.0,2.0,0.0,0.0,10.38095238095238,0.9817258883248732,0.9954314720812184,0.2294416243654822,76.01522842639594
West Bengal,24 Paraganas North,3177,2458,512,2,6147,0.0,0.0,0.0,0.5167534157449577,3073.5,0.9817258883248732,0.798984771573604,0.9969543147208122,93.1472081218274
West Bengal,24 Paraganas South,364,104,22,1,490,0.0,0.0,0.0,0.7413441955193483,490.0,0.9817258883248732,0.5045685279187817,0.9827411167512692,83.88832487309644
Odisha,ANGUL,1,0,0,1,1,5.0,9.0,0.3333333333333333,0.5,1.0,0.8512690355329949,0.8213197969543147,0.0197969543147208,59.284263959390856
Odisha,ANUGUL,12,1,0,11,13,245.0,145.0,0.6265984654731458,0.8571428571428571,1.181818181818182,0.3796954314720812,0.2289340101522843,0.0446700507614213,23.39593908629442
Andhra Pradesh,Adilabad,3654,748,4,75,4406,132321.0,75301.0,0.6373137850816143,0.8291354663036079,58.74666666666667,0.3522842639593908,0.3015228426395939,0.5593908629441624,39.91878172588832
Madhya Pradesh,Agar Malwa,2087,421,29,72,2537,16813.0,9884.0,0.6297475466327066,0.822301024428684,35.236111111111114,0.3736040609137055,0.3248730964467005,0.4243654822335025,37.42131979695431
Uttar Pradesh,Agra,16314,12691,905,85,29910,235048.0,175953.0,0.5718901611184374,0.5454180736184012,351.88235294117646,0.5116751269035533,0.7725888324873096,0.9614213197969544,72.48730964467005
Maharashtra,Ahilyanagar,12,1,0,7,13,17.0,2418.0,0.0069786535303776,0.8571428571428571,1.8571428571428568,0.9624365482233502,0.2289340101522843,0.0893401015228426,48.04568527918782
Gujarat,Ahmadabad,4105,2322,240,73,6667,15682.0,7760.0,0.6689416883504671,0.615626874625075,91.32876712328768,0.2751269035532995,0.6873096446700507,0.6974619289340102,52.54822335025381
Maharashtra,Ahmadnagar,9369,2338,129,78,11836,363561.0,227667.0,0.6149241664397382,0.7915012249725437,151.74358974358975,0.4040609137055837,0.4050761421319797,0.8385786802030457,53.47208121827411
Maharashtra,Ahmed Nagar,277,63,0,66,340,5839.0,5595.0,0.5106252732837778,0.8123167155425219,5.151515151515151,0.650761421319797,0.350253807106599,0.1736040609137056,41.746192893401016
Gujarat,Ahmedabad,12844,5679,607,81,19130,405490.0,267884.0,0.6021756079450529,0.6713710731273849,236.17283950617283,0.4365482233502538,0.6182741116751269,0.9258883248730964,63.786802030456855
Maharashtra,Ahmednagar,182,158,28,1,368,0.0,0.0,0.0,0.4932249322493225,368.0,0.9817258883248732,0.8365482233502538,0.96751269035533,93.39086294416244
Mizoram,Aizawl,762,236,61,73,1059,37677.0,12892.0,0.7450464702392723,0.7188679245283018,14.506849315068491,0.0883248730964466,0.5380710659898478,0.2781725888324873,28.02030456852792
Rajasthan,Ajmer,9200,2787,148,79,12135,141858.0,124036.0,0.5335113484646195,0.7580751483190508,153.60759493670886,0.6020304568527919,0.4629441624365482,0.8426395939086294,63.248730964467
Maharashtra,Akola,3966,693,49,73,4708,185085.0,62082.0,0.748822663127913,0.8422170312168189,64.4931506849315,0.0852791878172588,0.2649746192893401,0.581725888324873,28.812182741116743
Kerala,Alappuzha,2536,892,131,74,3559,87629.0,36835.0,0.704045313943679,0.7123595505617978,48.0945945945946,0.1837563451776649,0.549238578680203,0.5086294416243655,39.086294416243646
Uttar Pradesh,Aligarh,13830,11776,586,84,26192,199500.0,186462.0,0.5168889245860354,0.528003665101363,311.8095238095238,0.6375634517766497,0.7898477157360406,0.9512690355329948,77.73604060913706
West Bengal,Alipurduar,1521,1714,438,76,3673,7625.0,10834.0,0.4130552546045504,0.4139902014153511,48.328947368421055,0.7949238578680203,0.8944162436548223,0.5096446700507614,73.91878172588832
Madhya Pradesh,Alirajpur,3251,3390,369,78,7010,62133.0,21594.0,0.7420815020064973,0.4636999001568963,89.87179487179488,0.0913705583756345,0.8659898477157361,0.6893401015228426,50.31472081218274
Uttar Pradesh,Allahabad,7254,5946,49,78,13249,258910.0,186295.0,0.5815510123403548,0.5474716981132075,169.85897435897436,0.4883248730964467,0.7654822335025381,0.8629441624365483,68.38578680203045
Andhra Pradesh,Alluri Sitharama Raju,1105,116,34,73,1255,18607.0,12871.0,0.5910924743479781,0.8797770700636943,17.19178082191781,0.4639593908629441,0.1705583756345178,0.3126903553299492,33.05583756345178
Uttarakhand,Almora,1228,131,8,74,1367,32409.0,15786.0,0.6724416964063408,0.8976608187134503,18.47297297297297,0.2629441624365483,0.1360406091370558,0.3238578680203046,24.314720812182745
Rajasthan,Alwar,15764,7314,305,81,23383,223449.0,144744.0,0.606878439083744,0.6741361614779336,288.679012345679,0.4243654822335025,0.6121827411167513,0.9421319796954316,63.60406091370558
Haryana,Ambala,3063,122,33,75,3218,72756.0,33242.0,0.6863838338097529,0.9515377446411928,42.906666666666666,0.2304568527918782,0.0233502538071066,0.482233502538071,24.38578680203046
Uttar Pradesh,Ambedkar Nagar,3856,4096,50,78,8002,87220.0,75756.0,0.5351675389778926,0.4818193177558416,102.5897435897436,0.5989847715736041,0.849746192893401,0.7411167512690355,71.68527918781726
Uttar Pradesh,Amethi,3890,3251,56,77,7197,93271.0,76280.0,0.5501026233839766,0.540427896637955,93.46753246753246,0.5604060913705584,0.7776649746192894,0.7065989847715736,66.94416243654823
Maharashtra,Amravati,5783,1025,107,80,6915,338283.0,96191.0,0.7786017607457276,0.836176980913823,86.4375,0.0456852791878172,0.2791878172588832,0.6720812182741117,30.36548223350254
Gujarat,Amreli,3460,587,246,76,4293,68514.0,27888.0,0.7107040237337012,0.8057755006986492,56.48684210526316,0.1644670050761421,0.3685279187817258,0.5421319796954315,33.898477157360404
Punjab,Amritsar,7633,1775,247,82,9655,155008.0,99075.0,0.610065962437619,0.7904929577464789,117.7439024390244,0.4182741116751269,0.4081218274111675,0.7746192893401015,52.21319796954316
Uttar Pradesh,Amroha,5605,2476,61,78,8142,92672.0,90302.0,0.5064735619620166,0.6883212575217978,104.3846153846154,0.6629441624365482,0.582741116751269,0.7451776649746192,66.35532994923858
Andhra Pradesh,Anakapalli,523,12,8,70,543,6723.0,13460.0,0.3330856123662307,0.9613970588235294,7.757142857142857,0.8538071065989847,0.0121827411167512,0.2010152284263959,40.54822335025381
Gujarat,Anand,5616,828,536,78,6980,113695.0,39149.0,0.7438581569563937,0.8044692737430168,89.48717948717949,0.0893401015228426,0.3766497461928934,0.6873096446700507,35.492385786802025
Andhra Pradesh,Anantapur,4089,326,0,77,4415,93565.0,68745.0,0.5764550769818435,0.9259510869565216,57.33766233766234,0.499492385786802,0.0720812182741116,0.5492385786802031,38.61928934010152
Andhra Pradesh,Ananthapur,1843,151,0,75,1994,84132.0,30026.0,0.7369721178356503,0.923809523809524,26.586666666666662,0.098477157360406,0.0781725888324873,0.3786802030456853,17.64467005076142
Andhra Pradesh,Ananthapuramu,3018,159,10,74,3187,109602.0,55944.0,0.6620597171800153,0.9466750313676286,43.067567567567565,0.3005076142131979,0.0274111675126903,0.4842639593908629,27.370558375634516
Jammu and Kashmir,Anantnag,2978,341,35,72,3354,47569.0,35566.0,0.5721829291762894,0.8876304023845007,46.583333333333336,0.5106598984771573,0.1512690355329949,0.5025380710659898,40.04060913705584
Andaman & Nicobar Islands,Andamans,70,5,0,41,75,2015.0,750.0,0.7284887924801157,0.9210526315789472,1.829268292682927,0.1177664974619289,0.0842639593908629,0.0873096446700507,9.857868020304569
Odisha,Angul,2582,413,14,76,3009,64050.0,29458.0,0.6849608059117305,0.8578073089700997,39.5921052631579,0.2314720812182741,0.2274111675126903,0.4619289340101523,29.93908629441624
Arunachal Pradesh,Anjaw,23,11,3,19,37,1171.0,760.0,0.6061076604554866,0.6052631578947368,1.947368421052632,0.4284263959390862,0.7015228426395939,0.0944162436548223,41.015228426395936
Andhra Pradesh,Annamayya,868,48,105,69,1021,9712.0,33634.0,0.2240524142385863,0.8493150684931506,14.797101449275363,0.9238578680203046,0.2477157360406091,0.2842639593908629,52.91370558375634
Odisha,Anugal,1,2,0,2,3,4.0,11.0,0.25,0.25,1.5,0.9055837563451776,0.9538071065989848,0.0675126903553299,66.86294416243655
Odisha,Anugul,159,35,0,60,194,1860.0,1668.0,0.5270614905072258,0.8153846153846154,3.2333333333333334,0.6203045685279187,0.3482233502538071,0.1451776649746192,39.61421319796955
Madhya Pradesh,Anuppur,2864,349,13,74,3226,71350.0,26195.0,0.7314497775408525,0.8875116207003408,43.5945945945946,0.1106598984771574,0.1522842639593908,0.4862944162436548,23.58375634517767
Bihar,Araria,9939,5515,125,81,15579,155444.0,155315.0,0.5002059467112885,0.6379332477535302,192.33333333333331,0.6781725888324873,0.6649746192893401,0.8873096446700508,73.69543147208122
Tamil Nadu,Ariyalur,1927,405,80,74,2412,77473.0,23351.0,0.7683907760971981,0.7985909656029838,32.5945945945946,0.0497461928934009,0.3918781725888325,0.4091370558375634,26.02030456852792
Gujarat,Arvalli,1952,322,117,74,2391,29669.0,8096.0,0.7856008049568395,0.8160535117056856,32.310810810810814,0.0406091370558375,0.3461928934010152,0.4071065989847716,24.22335025380711
Bihar,Arwal,812,3020,34,79,3866,30704.0,27770.0,0.5250790936297564,0.2099818981122317,48.936708860759495,0.6223350253807107,0.9634517766497462,0.5147208121827411,69.23857868020305
Madhya Pradesh,Ashok Nagar,3726,1285,167,78,5178,74376.0,45017.0,0.62294587667722,0.719443908090365,66.38461538461539,0.3898477157360406,0.5370558375634518,0.5898477157360406,49.4010152284264
Madhya Pradesh,Ashoknagar,1594,1323,94,2,3011,0.0,0.0,0.0,0.5292164674634794,1505.5,0.9817258883248732,0.7878172588832487,0.9928934010152284,92.69035532994924
Uttar Pradesh,Auraiya,2169,1547,17,77,3733,63181.0,51799.0,0.5494907854341152,0.580878414568827,48.48051948051948,0.5624365482233502,0.732994923857868,0.5106598984771573,59.80710659898476
Maharashtra,Aurangabad,15375,11970,218,83,27563,407803.0,260969.0,0.6097779067037694,0.5577927731824118,332.0843373493976,0.4192893401015228,0.7583756345177665,0.9573604060913704,68.24365482233502
Bihar,Aurangabad(BH),5,3,0,6,8,10.0,24.0,0.2857142857142857,0.5555555555555556,1.3333333333333333,0.8817258883248731,0.7598984771573605,0.0538071065989847,59.68020304568528
Bihar,Aurangabad(bh),44,61,0,43,105,222.0,670.0,0.2486002239641657,0.4150943396226415,2.441860465116279,0.9086294416243654,0.8934010152284264,0.115736040609137,66.61928934010153
Uttar Pradesh,Ayodhya,1027,634,32,76,1693,7391.0,15277.0,0.3260399664740394,0.6062573789846517,22.276315789473685,0.8568527918781725,0.6994923857868021,0.3512690355329949,65.79695431472081
Uttar Pradesh,Azamgarh,6717,13577,279,80,20573,173398.0,159789.0,0.5204209035139321,0.326480023330417,257.1625,0.6314720812182741,0.9380710659898476,0.931979695431472,81.36040609137056
Jammu and Kashmir,Badgam,1674,192,1,72,1867,14141.0,12119.0,0.5384791135143369,0.8961456102783726,25.93055555555556,0.5888324873096447,0.1380710659898477,0.3736040609137055,38.90355329949239
Karnataka,Bagalkot,6158,900,84,77,7142,77134.0,52661.0,0.5942710098924466,0.8621027579448411,92.75324675324676,0.4558375634517766,0.2162436548223349,0.7025380710659899,45.79695431472081
Karnataka,Bagalkot *,218,31,0,59,249,1725.0,1196.0,0.5903490759753593,0.872,4.220338983050848,0.4649746192893401,0.1908629441624365,0.1604060913705583,29.13705583756345
Uttarakhand,Bageshwar,675,65,2,71,742,21495.0,6928.0,0.7562271320011258,0.9084791386271872,10.450704225352112,0.0710659898477157,0.1065989847715735,0.2304568527918781,12.954314720812182
Uttar Pradesh,Baghpat,3482,3203,154,79,6839,58029.0,54908.0,0.5138128884874887,0.5090643274853801,86.56962025316456,0.6436548223350254,0.8040609137055837,0.6751269035532995,70.12182741116752
Uttar Pradesh,Bagpat,0,1,0,1,1,8.0,10.0,0.4210526315789473,0.0,1.0,0.7847715736040609,0.9954314720812184,0.0197969543147208,61.84771573604061
Uttar Pradesh,Bahraich,14674,22360,2304,84,39338,181078.0,129697.0,0.5826640409812855,0.3730140572968301,468.3095238095238,0.4862944162436547,0.9126903553299492,0.9807106598984772,76.25380710659898
Assam,Bajali,19,8,2,20,29,23.0,844.0,0.0264976958525345,0.6333333333333333,1.45,0.9532994923857868,0.6720812182741116,0.0614213197969543,60.13705583756346
Assam,Baksa,2120,1179,400,83,3699,17455.0,17012.0,0.5064117442265289,0.572972972972973,44.566265060240966,0.6639593908629442,0.7461928934010152,0.4913705583756345,63.68527918781726
Madhya Pradesh,Balaghat,6237,540,28,75,6805,126762.0,79292.0,0.6151852660697387,0.9163972965030855,90.73333333333332,0.4030456852791878,0.0883248730964466,0.6964467005076143,39.66497461928934
Odisha,Balangir,4582,1032,56,76,5670,101045.0,42594.0,0.7034600389863548,0.8079703755951332,74.60526315789474,0.1847715736040609,0.3624365482233502,0.6223350253807106,36.93401015228426
Orissa,Baleshwar,978,251,0,73,1229,24836.0,12287.0,0.6690011852171103,0.7951219512195122,16.835616438356166,0.2741116751269036,0.398984771573604,0.3096446700507614,32.223350253807105
Odisha,Baleswar,4866,1148,4,76,6018,104674.0,43214.0,0.7077875974548479,0.8084399401894002,79.1842105263158,0.1736040609137056,0.3614213197969543,0.6426395939086295,37.06598984771574
Karnataka,Ballari,2450,267,64,74,2781,37360.0,24399.0,0.6049222797927462,0.8806613946800863,37.58108108108108,0.433502538071066,0.1675126903553299,0.4446700507614213,35.70558375634517
Uttar Pradesh,Ballia,4079,5860,37,79,9976,133005.0,104948.0,0.5589525706649184,0.4088403327653603,126.27848101265825,0.5441624365482234,0.8964467005076142,0.7857868020304568,72.23350253807106
Chhattisgarh,Balod,1603,71,4,74,1678,81215.0,59734.0,0.5761972330613693,0.95473496128648,22.67567567567568,0.5025380710659899,0.0182741116751269,0.3532994923857868,31.248730964467008
Chhattisgarh,Baloda Bazar,4349,562,33,77,4944,140747.0,116270.0,0.5476153421161164,0.879474216380182,64.20779220779221,0.56751269035533,0.1715736040609137,0.5786802030456852,45.20812182741117
Rajasthan,Balotra,1,0,0,1,1,6.0,503.0,0.0117647058823529,0.5,1.0,0.9593908629441624,0.8213197969543147,0.0197969543147208,63.60913705583757
Uttar Pradesh,Balrampur,8774,9435,305,80,18514,154355.0,138377.0,0.5272893729097847,0.473886038347286,231.425,0.6192893401015229,0.8588832487309644,0.9228426395939088,78.22335025380711
Gujarat,Banas Kantha,5997,6719,782,59,13498,547.0,473.0,0.5357492654260528,0.4442551300096303,228.77966101694915,0.5969543147208122,0.8791878172588833,0.9197969543147207,77.84771573604061
Gujarat,Banaskantha,9944,5781,1635,76,17360,151757.0,75207.0,0.6686361333245214,0.572778065779621,228.42105263157896,0.2781725888324873,0.7472081218274111,0.9187817258883249,61.10659898477158
Uttar Pradesh,Banda,4825,5563,203,80,10591,92491.0,69435.0,0.5711894866205142,0.4555324773413897,132.3875,0.5126903553299492,0.8751269035532995,0.8050761421319796,70.91370558375634
Jammu and Kashmir,Bandipore,1288,308,43,70,1639,20373.0,15894.0,0.5617348626888717,0.7853658536585366,23.414285714285715,0.534010152284264,0.4172588832487309,0.3604060913705584,44.69035532994924
Jammu & Kashmir,Bandipur,2,0,0,2,2,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.8512690355329949,0.6284263959390863,0.0197969543147208,53.49746192893401
Karnataka,Bangalore,5776,1236,4,76,7016,198979.0,51842.0,0.7933076045960881,0.8231437936440074,92.3157894736842,0.0355329949238578,0.3208121827411168,0.7015228426395939,32.09137055837563
Karnataka,Bangalore Rural,2251,267,126,75,2644,38035.0,48234.0,0.4408832734438391,0.8510396975425331,35.25333333333333,0.7634517766497462,0.2426395939086294,0.4253807106598984,50.57868020304568
Bihar,Banka,6198,4797,79,79,11074,98227.0,98120.0,0.5002699289017459,0.5596388261851016,140.1772151898734,0.6771573604060914,0.7563451776649746,0.817258883248731,74.29441624365482
West Bengal,Bankura,9083,2122,150,78,11355,108049.0,145827.0,0.425595859412235,0.799841493483621,145.57692307692307,0.7796954314720812,0.3888324873096447,0.8274111675126904,67.6751269035533
Rajasthan,Banswara,4203,3030,30,76,7263,93711.0,101294.0,0.4805544444786314,0.5786068281938326,95.5657894736842,0.7147208121827411,0.7380710659898477,0.7177664974619289,72.26395939086294
Andhra Pradesh,Bapatla,421,55,16,71,492,5982.0,13514.0,0.3068164332974303,0.8539553752535497,6.929577464788732,0.8700507614213198,0.2365482233502538,0.1949238578680203,47.746192893401016
Uttar Pradesh,Bara Banki,5776,3218,92,79,9086,165242.0,109967.0,0.6004214963119072,0.6356333223286013,115.0126582278481,0.4395939086294416,0.6680203045685279,0.76751269035533,60.6497461928934
Uttar Pradesh,Barabanki,1401,922,52,72,2375,4224.0,4960.0,0.4598802395209581,0.5896464646464646,32.986111111111114,0.7380710659898477,0.7197969543147208,0.4131979695431472,63.51269035532995
Jammu and Kashmir,Baramula,3198,532,64,77,3794,61935.0,36795.0,0.6273105711478665,0.8426877470355731,49.27272727272727,0.3776649746192894,0.2629441624365483,0.516751269035533,38.497461928934015
Rajasthan,Baran,4532,1658,77,77,6267,80256.0,78758.0,0.5047071031034808,0.7230376515634971,81.3896103896104,0.667005076142132,0.531979695431472,0.6517766497461929,62.192893401015226
West Bengal,Barddhaman,12816,3006,14,76,15836,181126.0,170401.0,0.5152534079788808,0.8092441750331503,208.3684210526316,0.6395939086294415,0.3593908629441624,0.901522842639594,63.41116751269035
